"","Player","Tm","season21_22"
"160","Evan Mobley","CLE",8075160
"161","Cedi Osman","CLE",8050000
"162","DeAndre Jordan","DET",10517224
"163","De'Andre Hunter","ATL",7775400
"164","Mo Bamba","ORL",7568742
"165","Tyus Jones","MEM",7522200
"166","Ivica Zubac","LAC",7518518
"167","T.J. McConnell","IND",7500000
"168","Patrick Williams","CHI",7422000
"169","Scottie Barnes","TOR",7280520
"170","Darius Garland","CLE",7040880
"171","Juan Hernangómez","BOS",7012440
"172","Chris Boucher","TOR",7009615
"173","D.J. Augustin","HOU",7e+06
"174","P.J. Tucker","MIA",7e+06
"175","Zach Collins","SAS",6984127
"176","Wendell Carter Jr.","ORL",6920027
"177","Isaac Okoro","CLE",6720720
"178","Jalen Suggs","ORL",6593040
"179","Cameron Payne","PHO",6500000
"180","Joakim Noah","NYK",6431666
"181","Jarrett Culver","MEM",6395160
"182","Khem Birch","TOR",6350000
"183","Collin Sexton","CLE",6349671
"184","Onyeka Okongwu","ATL",6104280
"185","Justin Holiday","IND",6006420
"186","Josh Giddey","OKC",5988000
"187","Rudy Gay","UTA",5890000
"188","Patty Mills","BRK",5890000
"189","Dennis Schröder","BOS",5890000
"190","Kevin Knox","NYK",5845978
"191","Coby White","CHI",5837760
"192","Timofey Mozgov","ORL",5573334
"193","Killian Hayes","DET",5572680
"194","Mikal Bridges","PHO",5557725
"195","Shai Gilgeous-Alexander","OKC",5495532
"196","Jonathan Kuminga","GSW",5466360
"197","Miles Bridges","CHO",5421493
"198","Jaxson Hayes","NOP",5348280
"199","Pat Connaughton","MIL",5333333
"200","Michael Porter Jr.","DEN",5258735
"201","Ryan Anderson","MIA",5214584
"202","Hamidou Diallo","DET",5200000
"203","Kevon Looney","GSW",5178572
"204","Troy Brown Jr.","CHI",5170564
"205","Obi Toppin","NYK",5105160
"206","Franz Wagner","ORL",5007840
"207","Josh Jackson","DET",5005350
"208","JaVale McGee","PHO",5e+06
"209","Robin Lopez","ORL",5e+06
"210","Kendrick Nunn","LAL",5e+06
"211","Lou Williams","ATL",5e+06
"212","Luol Deng","LAL",4990000
"213","Rui Hachimura","WAS",4916160
"214","Garrett Temple","NOP",4910000
"215","Cory Joseph","DET",7310000
"216","Taj Gibson","NYK",4910000
"217","Torrey Craig","IND",4878049
"218","Rajon Rondo","MEM",2641691
"219","Bruce Brown","BRK",4736102
"220","Deni Avdija","WAS",4692840
"221","Donte DiVincenzo","MIL",4675830
"222","Cam Reddish","ATL",4670160
"223","David Nwaba","HOU",4650000
"224","Furkan Korkmaz","PHI",4629630
"225","Davion Mitchell","SAC",4603320
"226","Bryn Forbes","SAS",4500000
"227","Jeff Green","DEN",4500000
"228","Ish Smith","CHO",4500000
"229","Jalen Smith","PHO",4458000
"230","Lonnie Walker","SAS",4447896
"231","Cameron Johnson","PHO",4437000
"232","Ziaire Williams","MEM",4373160
"233","Maurice Harkless","SAC",4347600
"234","Bobby Portis","MIL",4347600
